decile,count,response_rate,avg_score,lift
D1,9045,0.02211166390270868,0.0003237030617862973,0.02820063606119224
D2,9040,0.08849557522123894,0.0011897872066922647,0.11286493503251495
D3,9042,0.19907100199071004,0.001888919818647273,0.2538899334838923
D4,9043,0.28751520513104056,0.0026092508415622596,0.36668934991211866
D5,9042,0.33178500331785005,0.003493724811516619,0.4231498891398205
D6,9042,0.453439504534395,0.004649469681257467,0.578304848491088
D7,9043,0.5860886873825059,0.006175146296482759,0.7474821363593189
D8,9043,1.006303217958642,0.008500097623705575,1.2834127246924154
D9,9041,1.2498617409578587,0.01298065592915952,1.5940408753790327
D10,9043,3.6160566183788565,0.03648686976139984,4.6118237469716465
